selected,authors,title,url,conf,code,slides,comments,tags
,"B. Bhattacharjee, K. A. Ross, C. A. Lang, G. A. Mihaila, and M. Banikazemi",Enhancing Recovery using an SSD Buffer Pool Extension,http://dl.acm.org/citation.cfm?doid=1995441.1995443,DAMON 2011,,,,
,"J. Stoyanovich, M. Lodha, W. Mee, and K. A. Ross",SkylineSearch: Semantic Ranking and Result Visualization for Pubmed,http://dl.acm.org/citation.cfm?doid=1989323.1989467,SIGMOD 2011 Demo,,,,
,K. A. Ross,"Evidence for somatic gene conversion and deletion in bipolar disorder, Crohn's disease, coronary artery disease, hypertension, rheumatoid arthritis, type-1 diabetes, and type-2 diabetes",http://www.biomedcentral.com/1741-7015/9/12,BMC Medicine 2011,,,,
,"M. Naaman, H. Becker, and L. Gravano",Hip and Trendy: Characterizing Emerging Trends on Twitter,http://www1.cs.columbia.edu/~gravano/Papers/2011/jasist11.pdf,JASIST 2011,,,,
,"H. Becker, M. Naaman, and L. Gravano",Beyond Trending Topics: Real-World Event Identification on Twitter,#,ICWSM 2011,,,,
,"H. Becker, M. Naaman, and L. Gravano",Selecting Quality Twitter Content for Events,#,ICWSM 2011,,,,
,"M. Solomon, L. Gravano, and C. Yu",Quality Impact of Value Matching and Scoring in Top-k Entity Attribute Extraction,,DBRank 2011,,,,
,"H. Becker, F. Chen, D. Iter, M. Naaman, and L. Gravano",Automatic Identification and Presentation of Twitter Content for Planned Events (demonstration),,ICWSM 2011,,,,
,"C. Curino, E. Jones, Y. Zhang, E. Wu, and S. Madden",Relational Cloud: The Case for a Database Service,http://sirrice.github.io/files/papers/caseforrelationalcloud.pdf,MIT CSAIL Technical Report,,,,
,"P. Cudre-Mauroux, E. Wu, and S. Madden",TrajStore: An Adaptive Storage System for Very Large Trajectory Data Sets,http://sirrice.github.io/files/papers/trajstore-icde10.pdf,ICDE 2010,,,,
,"B. Bhattacharjee, M. Canim, C. Lang, G. Mihaila, and K. A. Ross",Storage Class Memory Aware Data Management,http://sites.computer.org/debull/A10dec/bish.pdf,IEEE Data Eng. Bull. 2010,,,,
,"M. Canim, G. Mihaila, B. Bhattacharjee, K. A. Ross, and C. Lang",SSD Bufferpool Extensions for Database Systems,http://www.comp.nus.edu.sg/~vldb2010/proceedings/files/papers/I06.pdf,VLDB 2010,,,,
,"M. Canim, G. Mihaila, B. Bhattacharjee, C. Lang, and K. A. Ross",Buffered Bloom Filters on Solid State Storage,http://www.vldb2010.org/proceedings/files/vldb_2010_workshop/ADMS_2010/adms10-canim.pdf,ADMS 2010,,,,
,"J. Cieslewicz, K. A. Ross, K. Satsumi, and Y. Ye",Automatic Contention Detection and Amelioration for Data Intensive Operations,http://www.cs.columbia.edu/%7Ekar/pubsk/sigmod053-cieslewicz.pdf,SIGMOD 2010,,,,
,K. A. Ross,Optimizing Read Convoys in Main-Memory Query Processing,http://www.cs.columbia.edu/%7Ekar/pubsk/convoy.pdf,DAMON 2010,,,,
,"J. Stoyanovich, W. Mee, and K. A. Ross",Semantic Ranking and Result Visualization for Life Sciences Publications,http://www.cs.columbia.edu/%7Ekar/pubsk/ICDE10_conf_full_040.pdf,ICDE 2010,,,,
,"H. Becker, M. Naaman, and L. Gravano",Learning Similarity Metrics for Event Identification in Social Media,#,WSDM 2010,,,,
,"M. Solomon, C. Yu, and L. Gravano",Popularity-Guided Top-k Extraction of Entity Attributes,,WebDB 2010,,,,
,"H. Becker, B. Xiao, M. Naaman, and L. Gravano",Exploiting Social Links for Event Identification in Social Media (poster),,SSM 2010,,,,
,"E. Wu, P. Cudre-Mauroux, and S. Madden",Demonstration of the TrajStore System,http://sirrice.github.io/files/papers/trajstore-vldb09demo.pdf,VLDB 2009,,,,
,"P. Cudre-Mauroux, E. Wu, and S. Madden","The Case for RodentStore: An Adaptive, Declarative Storage System",http://www-db.cs.wisc.edu/cidr/cidr2009/Paper_97.pdf,CIDR 2009,,,,
,"B. Bhattacharjee, L. Lim, T. Malkemus, G. Mihaila, K. A. Ross, S. Lau, C. McCarthur, Z. Toth, and R. Sherkat",Efficient Index Compression in DB2 LUW,http://www1.cs.columbia.edu/~kar/pubsk/indexcompression2009.pdf,PVLDB 2009,,,,
,"M. Canim, B. Bhattacharjee, G. Mihaila, C. Lang, and K. A. Ross",An Object Placement Advisor for DB2 Using Solid State Storage,http://www.vldb.org/pvldb/2/vldb09-853.pdf,PVLDB 2009,,,,
,"J. Cieslewicz, W. Mee, and K.A. Ross",Cache Conscious Buffering for Database Operators with State,http://event.cwi.nl/damon2009/DaMoN09-CacheConsciousBuffering.pdf,DAMON 2009,,,,
,K. A. Ross and J. Cieslewicz,Optimal Splitters for Database Partitioning with Size Bounds,http://www1.cs.columbia.edu/~kar/pubsk/splitters.pdf,ICDT 2009,,,,
,"A. L. Varbanescu, H. J. Sips, K. A. Ross, Q. Liu, A. Natsev, J. R. Smith, and L. K. Liu",Evaluating Application Mapping Scenarios on the Cell/B.E,http://www.cs.columbia.edu/%7Ekar/pubsk/cpe2009.pdf,Concurrency and Computation: Practice and Experience 2009,,,,
,"A. Jain, P. Ipeirotis, A. Doan, and L. Gravano",Join Optimization of Information Extraction Output: Quality Matters!,#,ICDE 2009,,,,
,"H. Becker, M. Naaman, and L. Gravano",Event Identification in Social Media,,WebDB 2009,,,,
,"M. Cafarella, A. Halevy, D. Wang, and E. Wu, Y. Zhang",WebTables: Exploring the Power of Tables on the Web,http://sirrice.github.io/files/papers/webtables-vldb08.pdf,VLDB 2008,,,,
,"M. Cafarella, N. Khoussainova, D. Wang, E. Wu, Y. Zhang, and A. Halevy",Uncovering the Relational Web,http://sirrice.github.io/files/papers/relweb-webdb08.pdf,WebDB 2008,,,,
,"L. Hu, K. A. Ross, Y. C. Chang, C. A. Lang, and D. Zhang",QueryScope: visualizing queries for repeatable database tuning,http://www.vldb.org/pvldb/1/1454209.pdf,VLDB Demo 2008,,,,
,K.A. Ross,Modeling the Performance of Algorithms on Flash Memory Devices,http://www.cse.ust.hk/damon2008/proceedings/p11-ross.pdf,DAMON 2008,,,,
,J. Cieslewicz and K.A. Ross,Data Partitioning on Chip Multiprocessors,http://www.cse.ust.hk/damon2008/proceedings/p25-cieslewicz.pdf,DAMON 2008,,,,
,J. Cieslewicz and K.A. Ross,Database Optimizations for Modern Hardware,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=4483499,Proceedings of the IEEE 2008,,,,
,K. A. Ross and J. Stoyanovich,Schema Polynomials and Applications,http://www1.cs.columbia.edu/~kar/pubsk/schemapoly.pdf,EDBT 2008,,,,
,P. Ipeirotis and L. Gravano,Classification-Aware Hidden-Web Text Database Selection,http://www1.cs.columbia.edu/~gravano/Papers/2008/tois08.pdf,TOIS 2008,,,,
,"W. Dakka, L. Gravano, and P. Ipeirotis",Answering General Time-Sensitive Queries,#,CIKM 2008,,,,
,"A. Jain, A. Doan, and L. Gravano",Optimizing SQL Queries over Text Databases,#,ICDE 2008,,,,
,"A. Jain, P. Ipeirotis, and L. Gravano",Building Query Optimizers for Information Extraction: The SQoUT Project,,"SIGMOD Record, Special Issue on ""Managing Information Extraction,"" 2008",,,,
,"D. Gyllstrom, E. Wu, H. J. Chae, Y. Diao, P. Stahlberg, and G. Anderson",SASE: Complex Event Processing over Streams (Demo),#,CIDR 2007,,,,
,J. Cieslewicz and K. A. Ross,Adaptive Aggregation on Chip Multiprocessors,http://www.vldb.org/conf/2007/papers/research/p339-cieslewicz.pdf,VLDB 2007,,,,
,"A. L. Varbanescu, H. J. Sips, K. A. Ross, Q. Liu, L. K. Liu, A. Natsev, and J. R. Smith",An Effective Strategy for Porting C++ Applications on Cell,http://www.pds.ewi.tudelft.nl/pubs/papers/icpp2007.pdf,ICPP 2007,,,,
,"L. K. Liu, Q. Liu, A. Natsev, K. A. Ross, J. R. Smith, and A. L. Varbanescu",Digital Media Indexing on the Cell Processor,http://www.power.org/resources/devcorner/cellcorner/ICMEConf2007_MarCell.pdf,ICME 2007,,,,
,"A. L. Varbanescu, H. J. Sips, K. A. Ross, Q. Liu, A. Natsev, J. R. Smith, and L. K. Liu",Running Applications on Cell BE - a Performance Study,#,Workshop on Compilers for Parallel Computers 2007,,,,
,"J. Cieslewicz, K.A. Ross, and I. Giannakakis",Parallel Buffers for Chip Multiprocessors,http://www.cs.cmu.edu/~damon2007/pdf/cieslewicz07parallelbuffers.pdf,DAMON 2007,,,,
,"K.A. Ross, A. Janevski, and J. Stoyanovich",A Faceted Query Engine Applied to Archeology,http://intarch.ac.uk/journal/issue21/stoyanovich_index.html,Internet Archeology 2007,,,,
,K. A. Ross,On the Adequacy of Partial Orders for Preference Composition,http://www.cs.columbia.edu/%7Ekar/pubsk/adequacy.pdf,DBRank 2007,,,,
,"K. A. Ross, P. J. Stuckey, and A. Marian",Practical Preference Relations for Large Data Sets,http://www.cs.columbia.edu/%7Ekar/pubsk/practicalpref.pdf,DBRank 2007,,,,
,K. A. Ross,Efficient Hash Probes on Modern Processors,http://www.cs.columbia.edu/%7Ekar/pubsk/icde2007.pdf,ICDE 2007,,,,
,D. Chatziantoniou and K. A. Ross,Partitioned Optimization of Complex Queries,http://dx.doi.org/10.1016/j.is.2005.09.003,Information Systems 2007,,,,
,"K. A. Ross, D. Vespe, D. Hessing, and P. Jain",Finding Shapes in a Set of Points,http://www.sigmod.org/sigmod/record/issues/0703/04.article-ross.pdf,SIGMOD Record 2007,,,,
,"P. Ipeirotis, E. Agichtein, P. Jain, and L. Gravano",Towards a Query Optimizer for Text-Centric Tasks,http://www1.cs.columbia.edu/~gravano/Papers/2007/tods07b.pdf,TODS 2007,,,,
,"P. Ipeirotis, A. Ntoulas, J. Cho, and L. Gravano",Modeling and Managing Changes in Text Databases,http://www1.cs.columbia.edu/~gravano/Papers/2007/tods07a.pdf,TODS 2007,,,,
,W. Dakka and L. Gravano,Efficient Summarization-Aware Search for Online News Articles,#,JCDL 2007,,,,
,"M. Sayyadian, H. LeKhac, A. Doan, and L. Gravano",Efficient Keyword Search Across Heterogeneous Relational Databases,#,ICDE 2007,,,,
,"A. Jain, A. Doan, and L. Gravano",SQL Queries Over Unstructured Text Databases,#,ICDE 2007,,,,
,"E. Wu, Y. Diao, and S. Rizvi",High-performance complex event processing over streams,http://sirrice.github.io/files/papers/sase-sigmod06.pdf,SIGMOD 2006,,,,
,"D. Gyllstrom, E. Wu, H. J. Chae, Y. Diao, P. Stahlberg, and G. Anderson",SASE: Complex Event Processing over Streams,#,CoRR 2006,,,,
,"M. N. Garofalakis, K. P. Brown, M. J. Franklin, J. M. Hellerstein, D. Z. Wang, E. Michelakis, L. Tancau., E. Wu, S. R. Jeffery, and R. Aipperspach",Probabilistic Data Management for Pervasive Computing: The Data Furnace Project,#,IEEE Data Eng. Bull 2006,,,,
,K. A. Ross,Alpha Radiation is a Major Germ-Line Mutagen over Evolutionary Timescales,http://www.cs.columbia.edu/%7Ekar/pubsk/ffar1999.pdf,Evolutionary Ecology Research 2006,,,,
,"J. Cieslewicz, J. Berry, B. Hendrickson, and K.A. Ross",Realizing Parallelism in Database Operations: Insights from a Massively Multithreaded Architecture,http://www.cs.columbia.edu/%7Ekar/pubsk/damon06.pdf,DAMON 2006 (Best Paper Award winner.),,,,
,"P. Ipeirotis, E. Agichtein, P. Jain, and L. Gravano",To Search or to Crawl? Towards a Query Optimizer for Text-Centric Tasks,#,SIGMOD 2006,,,,
,"M. J. Franklin, S. R. Jeffery, S. Krishnamurthy, F. Reiss, S. Rizvi, E. Wu, O. Cooper, A. Edakkunni, and W. Hong",Design Considerations for High Fan-In Systems: The HiFi Approach,http://sirrice.github.io/files/papers/,CIDR 2005,,,,
,K. A. Ross,Academic Dishonesty and the Internet,http://portal.acm.org/citation.cfm?id=1089107.1089131,Communications of the ACM 2005,,,,
,"K. A. Ross, A. Janevski, and J. Stoyanovich",A Faceted Query Engine Applied to Archaeology,http://www.cs.columbia.edu/%7Ekar/pubsk/vldb2005demo.pdf,VLDB 2005 Demo,,,,
,"J. Zhou, J. Cieslewicz, K. A. Ross, and M. Shah",Improving Database Performance on Simultaneous Multithreading Processors,http://www.cs.columbia.edu/%7Ekar/pubsk/vldb2005.pdf,VLDB 2005,,,,
,"K. A. Ross, J. Cieslewicz, J. Rao, and J. Zhou",Architecture Sensitive Database Design: Examples from the Columbia Group,http://www.cs.columbia.edu/%7Ekar/pubsk/debull2005.pdf,IEEE Data Eng. Bull. 2005,,,,
,"P. Ipeirotis, A. Ntoulas, J. Cho, and L. Gravano",Modeling and Managing Content Changes in Text Databases,#,ICDE 2005,,,,
,"O. Cooper, A. Edakkunni, M. J. Franklin, W. Hong, S. R. Jeffery, S. Krishnamurthy, F. Reiss, S. Rizvi, and E. Wu",HiFi: A Unified Architecture for High Fan-in Systems,#,VLDB 2004 Demo,,,,
,K. A. Ross and J. Stoyanovich,Symmetric Relations and Cardinality Bounded Multisets in Database Systems,http://www.cs.columbia.edu/%7Ekar/pubsk/symm.pdf,VLDB 2004,,,,
,K. A. Ross and A. Janevski,Querying Faceted Databases,http://www.cs.columbia.edu/%7Ekar/pubsk/swdbfinal.pdf,SWDB Workshop 2004,,,,
,J. Zhou and K. A. Ross,Buffering Database Operations for Enhanced Instruction Cache Performance,http://www.cs.columbia.edu/%7Ekar/pubsk/icache.pdf,SIGMOD 2004,,,,
,"A. Aho, A. D. Keromytis, V. Misra, J. Nieh, K. A. Ross, and Y. Yemini","FlowPuter: A Cluster Architecture Unifying Switch, Server and Storage Processing",http://www1.cs.columbia.edu/~kar/pubsk/flowputer.pdf,First International Workshop on Data Processing and Storage Networking: Towards Grid Computing 2004,,,,
,K. A. Ross,Selection Conditions in Main Memory,http://www.cs.columbia.edu/%7Ekar/pubsk/selcondsTODS.pdf,TODS 2004,,,,
,"S. Chaudhuri, L. Gravano, and A. Marian",Optimizing Top-k Selection Queries over Multimedia Repositories,http://www1.cs.columbia.edu/~gravano/Papers/2004/tkde04.pdf,TKDE 2004,,,,
,"A. Marian, N. Bruno, and L. Gravano",Evaluating Top-k Queries over Web-Accessible Databases,http://www1.cs.columbia.edu/~gravano/Papers/2004/tods04.pdf,TODS 2004,,,,
,"E. Agichtein, S. Lawrence, and L. Gravano",Learning to Find Answers to Questions on the Web,http://www1.cs.columbia.edu/~gravano/Papers/2004/toit04.pdf,TOIT 2004,,,,
,P. Ipeirotis and L. Gravano,When one Sample is not Enough: Improving Text Database Selection Using Shrinkage,#,SIGMOD 2004,,,,
,"S. Chaudhuri, V. Ganti, and L. Gravano",Selectivity Estimation for String Predicates: Overcoming the Underestimation Problem,#,ICDE 2004,,,,
,J. Zhou and K. A. Ross,Buffering Accesses to Memory-Resident Index Structures,http://www.cs.columbia.edu/%7Ekar/pubsk/buffer.pdf,VLDB 2003,,,,
